Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Chromosome/scaffold name
ENSG00000257452	ENSG00000257452.1	AC004551.2	112907628	12
ENSG00000139116	ENSG00000139116.18	KIF21A	39293228	12
ENSG00000257302	ENSG00000257302.1	FAHD2P1	70671918	12
ENSG00000262691	ENSG00000262691.1	AC040160.1	67261108	16
ENSG00000242461	ENSG00000242461.1	RPS15AP32	113054062	12
ENSG00000120942	ENSG00000120942.13	UBIAD1	11273206	1
ENSG00000135740	ENSG00000135740.17	SLC9A5	67237683	16
ENSG00000266826	ENSG00000266826.2	AC011195.2	58660424	17
ENSG00000206478	ENSG00000206478.5	IER3	30732716	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000129195	ENSG00000129195.16	PIMREG	6444441	17
ENSG00000230163	ENSG00000230163.1	AL122010.1	34850694	1
ENSG00000198284	ENSG00000198284.9	NUP210P1	126660609	3
ENSG00000264672	ENSG00000264672.6	SEPT4-AS1	58519837	17
ENSG00000188910	ENSG00000188910.8	GJB3	34781214	1
ENSG00000100614	ENSG00000100614.18	PPM1A	60245752	14
ENSG00000135144	ENSG00000135144.7	DTX1	113056709	12
ENSG00000163291	ENSG00000163291.14	PAQR3	78887127	4
ENSG00000280799	ENSG00000280799.1	DUX4L5	190077818	4
ENSG00000178031	ENSG00000178031.17	ADAMTSL1	17906563	9
ENSG00000153187	ENSG00000153187.20	HNRNPU	244840638	1
ENSG00000238199	ENSG00000238199.1	UBE2V2P3	11278616	1
ENSG00000163866	ENSG00000163866.9	SMIM12	34712737	1
ENSG00000258834	ENSG00000258834.4	DUX4L4	190081118	4
ENSG00000271536	ENSG00000271536.1	AC073046.2	73877566	2
ENSG00000233834	ENSG00000233834.6	AC005083.1	20217577	7
ENSG00000280757	ENSG00000280757.1	DUX4L1	190084412	4
ENSG00000135116	ENSG00000135116.9	HRK	116856144	12
ENSG00000111684	ENSG00000111684.11	LPCAT3	6976185	12
ENSG00000167807	ENSG00000167807.15	AC011511.1	10305427	19
ENSG00000148834	ENSG00000148834.13	GSTO1	104235356	10
ENSG00000281627	ENSG00000281627.1	DUX4L3	190087705	4
ENSG00000231371	ENSG00000231371.1	AKR1B1P8	116043483	X
ENSG00000285977	ENSG00000285977.1	AC022068.1	4633065	8
ENSG00000286934	ENSG00000286934.1	AC027251.1	4317388	8
ENSG00000280457	ENSG00000280457.1	DUX4L2	190091005	4
ENSG00000254244	ENSG00000254244.1	PAICSP4	4787332	8
ENSG00000165730	ENSG00000165730.16	STOX1	68827531	10
ENSG00000275951	ENSG00000275951.1	AC008984.3	54305461	CHR_HSCHR19_4_CTG3_1
ENSG00000274425	ENSG00000274425.1	AC114271.1	10333436	19
ENSG00000160710	ENSG00000160710.17	ADAR	154582057	1
ENSG00000224093	ENSG00000224093.5	AL109613.1	93592199	1
ENSG00000237707	ENSG00000237707.1	AL031726.1	169104124	1
ENSG00000227337	ENSG00000227337.1	RPL23AP43	32785646	3
ENSG00000108688	ENSG00000108688.11	CCL7	34270221	17
ENSG00000240100	ENSG00000240100.1	AC083806.1	116908312	12
ENSG00000278402	ENSG00000278402.1	AC008984.5	54309794	CHR_HSCHR19_4_CTG3_1
ENSG00000196976	ENSG00000196976.7	LAGE3	154477769	X
ENSG00000288110	ENSG00000288110.1	AC010941.1	4496392	8
ENSG00000260596	ENSG00000260596.5	DUX4	190173774	4
ENSG00000137936	ENSG00000137936.18	BCAR3	93561741	1
ENSG00000254718	ENSG00000254718.6	AL157756.1	60240121	14
ENSG00000275734	ENSG00000275734.2	AC010538.1	89671568	16
ENSG00000270110	ENSG00000270110.2	AL353593.2	228295549	1
ENSG00000183117	ENSG00000183117.19	CSMD1	2935353	8
ENSG00000260259	ENSG00000260259.1	LINC02166	89682620	16
ENSG00000130827	ENSG00000130827.6	PLXNA3	154458281	X
ENSG00000213209	ENSG00000213209.2	AC005229.1	148637179	7
ENSG00000284659	ENSG00000284659.1	AC073869.8	131419665	2
ENSG00000257279	ENSG00000257279.1	AC127164.1	116977442	12
ENSG00000234558	ENSG00000234558.1	API5P1	116106921	X
ENSG00000185385	ENSG00000185385.4	OR7A17	14878203	19
ENSG00000272986	ENSG00000272986.1	AC009570.1	70703747	4
ENSG00000248883	ENSG00000248883.2	B4GALNT2P1	49085511	17
ENSG00000270200	ENSG00000270200.1	AC005229.3	148649547	7
ENSG00000274554	ENSG00000274554.1	AC083806.2	116948738	12
ENSG00000111344	ENSG00000111344.11	RASAL1	113098819	12
ENSG00000249791	ENSG00000249791.1	AC008494.2	115188563	5
ENSG00000174989	ENSG00000174989.13	FBXW8	116910950	12
ENSG00000214077	ENSG00000214077.4	GNAQP1	131423801	2
ENSG00000269678	ENSG00000269678.1	OR7A18P	14886839	19
ENSG00000122707	ENSG00000122707.12	RECK	36036913	9
ENSG00000154358	ENSG00000154358.21	OBSCN	228208063	1
ENSG00000215086	ENSG00000215086.2	NPM1P24	72917641	10
ENSG00000206192	ENSG00000206192.7	ANKRD20A9P	18816718	13
ENSG00000230825	ENSG00000230825.2	AC005532.1	7255154	7
ENSG00000257220	ENSG00000257220.1	PRXL2AP1	78130337	12
ENSG00000138315	ENSG00000138315.13	OIT3	72893584	10
ENSG00000258066	ENSG00000258066.1	AC138331.1	77775783	12
ENSG00000257835	ENSG00000257835.2	AC073591.1	77379770	12
ENSG00000263155	ENSG00000263155.6	MYZAP	57591904	15
ENSG00000242756	ENSG00000242756.2	RHOT1P3	18837768	13
ENSG00000137809	ENSG00000137809.17	ITGA11	68296532	15
ENSG00000186510	ENSG00000186510.12	CLCNKA	16018875	1
ENSG00000067798	ENSG00000067798.16	NAV3	77324641	12
ENSG00000169299	ENSG00000169299.14	PGM2	37826660	4
ENSG00000151461	ENSG00000151461.20	UPF2	11920022	10
ENSG00000234409	ENSG00000234409.6	CCDC188	20148427	22
ENSG00000278153	ENSG00000278153.1	AL121782.1	13368291	20
ENSG00000123572	ENSG00000123572.17	NRK	105822539	X
ENSG00000112851	ENSG00000112851.14	ERBIN	65926475	5
ENSG00000135723	ENSG00000135723.14	FHOD1	67229387	16
ENSG00000235500	ENSG00000235500.2	SNX19P2	18892260	13
ENSG00000236905	ENSG00000236905.2	AC104333.3	212824027	1
ENSG00000031698	ENSG00000031698.13	SARS	109213918	1
ENSG00000185523	ENSG00000185523.6	SPATA45	212830141	1
ENSG00000248850	ENSG00000248850.1	AC078867.1	126672106	3
ENSG00000283084	ENSG00000283084.1	AC026634.1	23485000	18
ENSG00000101782	ENSG00000101782.15	RIOK3	23453287	18
ENSG00000277840	ENSG00000277840.1	AC026368.1	117002463	12
ENSG00000285871	ENSG00000285871.1	AL359844.1	68896920	10
ENSG00000235182	ENSG00000235182.1	AC104333.1	212853280	1
ENSG00000198468	ENSG00000198468.9	FLVCR1-DT	212852105	1
ENSG00000159685	ENSG00000159685.10	CHCHD6	126704220	3
ENSG00000254552	ENSG00000254552.1	XIRP2-AS1	167123904	2
ENSG00000204193	ENSG00000204193.10	TXNDC8	110303521	9
ENSG00000088992	ENSG00000088992.18	TESC	117038923	12
ENSG00000163092	ENSG00000163092.19	XIRP2	166888487	2
ENSG00000236317	ENSG00000236317.1	AC104333.2	212855175	1
ENSG00000138308	ENSG00000138308.5	PLA2G12B	72935170	10
ENSG00000268834	ENSG00000268834.2	OR7A1P	14891737	19
ENSG00000224133	ENSG00000224133.5	HCG20	30756325	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000236712	ENSG00000236712.1	AC079448.1	7293508	7
ENSG00000215523	ENSG00000215523.7	AL773551.1	30788147	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000269787	ENSG00000269787.2	OR7A3P	14903232	19
ENSG00000271969	ENSG00000271969.1	U47924.1	6964949	12
ENSG00000225888	ENSG00000225888.1	LINC02570	30829032	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000217950	ENSG00000217950.4	NOC2LP2	131442644	2
ENSG00000213700	ENSG00000213700.3	RPL17P50	73005833	10
ENSG00000126749	ENSG00000126749.16	EMG1	6970913	12
ENSG00000234438	ENSG00000234438.4	KBTBD13	65076816	15
ENSG00000232742	ENSG00000232742.3	RHOQP2	131460999	2
ENSG00000246898	ENSG00000246898.1	LINC00920	66408524	16
ENSG00000278737	ENSG00000278737.1	AC013553.4	65083042	15
ENSG00000165731	ENSG00000165731.19	RET	43077069	10
ENSG00000273073	ENSG00000273073.1	AC073869.3	131461821	2
ENSG00000278813	ENSG00000278813.1	AC006133.1	39726030	19
ENSG00000113119	ENSG00000113119.12	TMCO6	140639427	5
ENSG00000184389	ENSG00000184389.9	A3GALT2	33306766	1
ENSG00000134686	ENSG00000134686.18	PHC2	33323623	1
ENSG00000079112	ENSG00000079112.10	CDH17	94127162	8
ENSG00000249558	ENSG00000249558.1	RCC2P4	126766434	3
ENSG00000180628	ENSG00000180628.15	PCGF5	91163012	10
ENSG00000105698	ENSG00000105698.16	USF2	35268962	19
ENSG00000075223	ENSG00000075223.14	SEMA3C	80742538	7
ENSG00000065621	ENSG00000065621.15	GSTO2	104268873	10
ENSG00000206557	ENSG00000206557.6	TRIM71	32817997	3
ENSG00000135108	ENSG00000135108.14	FBXO21	117141988	12
ENSG00000101342	ENSG00000101342.10	TLDC2	36876121	20
ENSG00000254061	ENSG00000254061.1	AC091144.2	33436268	8
ENSG00000261914	ENSG00000261914.2	RPL23AP84	190195727	4
ENSG00000129696	ENSG00000129696.12	TTI2	33473386	8
ENSG00000282994	ENSG00000282994.1	AC215524.1	190195738	4
ENSG00000173641	ENSG00000173641.17	HSPB7	16014028	1
ENSG00000257078	ENSG00000257078.1	AC006512.2	7041156	12
ENSG00000226542	ENSG00000226542.1	AC114814.1	235084822	2
ENSG00000254812	ENSG00000254812.1	AC067930.2	143632071	8
ENSG00000239701	ENSG00000239701.1	AC006512.1	7032108	12
ENSG00000231032	ENSG00000231032.1	AC114814.2	235147016	2
ENSG00000183309	ENSG00000183309.11	ZNF623	143636013	8
ENSG00000115524	ENSG00000115524.16	SF3B1	197388515	2
ENSG00000182326	ENSG00000182326.15	C1S	6988259	12
ENSG00000255529	ENSG00000255529.9	POLR2M	57706695	15
ENSG00000101347	ENSG00000101347.9	SAMHD1	36889773	20
ENSG00000184613	ENSG00000184613.10	NELL2	44508275	12
ENSG00000234665	ENSG00000234665.9	AL512625.3	62856999	9
ENSG00000145730	ENSG00000145730.20	PAM	102753981	5
ENSG00000270075	ENSG00000270075.1	AL162742.1	104312141	10
ENSG00000136237	ENSG00000136237.19	RAPGEF5	22118236	7
ENSG00000287779	ENSG00000287779.1	AL162742.2	104313308	10
ENSG00000148841	ENSG00000148841.17	ITPRIP	104309698	10
ENSG00000279110	ENSG00000279110.1	AL022323.4	25052122	22
ENSG00000197077	ENSG00000197077.13	KIAA1671	24952730	22
ENSG00000271385	ENSG00000271385.1	AL161798.1	91464578	10
ENSG00000165338	ENSG00000165338.16	HECTD2	91409280	10
ENSG00000236680	ENSG00000236680.1	AL356000.1	19026892	9
ENSG00000236940	ENSG00000236940.1	AL589765.3	151757659	1
ENSG00000236857	ENSG00000236857.3	RAP1BP1	18717974	9
ENSG00000228261	ENSG00000228261.1	ITPRIP-AS1	104323369	10
ENSG00000268288	ENSG00000268288.1	AL589765.5	151766486	1
ENSG00000198042	ENSG00000198042.11	MAK16	33485182	8
ENSG00000227167	ENSG00000227167.1	AL442638.1	18360597	9
ENSG00000280053	ENSG00000280053.1	AC011199.1	126973065	3
ENSG00000231233	ENSG00000231233.1	CFAP58-DT	104351591	10
ENSG00000155875	ENSG00000155875.15	SAXO1	18858906	9
ENSG00000231755	ENSG00000231755.1	CHODL-AS1	17835016	21
ENSG00000143436	ENSG00000143436.11	MRPL9	151759647	1
ENSG00000133958	ENSG00000133958.13	UNC79	93333219	14
ENSG00000215369	ENSG00000215369.3	RPL37P3	17894193	21
ENSG00000120051	ENSG00000120051.15	CFAP58	104353833	10
ENSG00000266433	ENSG00000266433.6	TBC1D3P5	27417690	17
ENSG00000279548	ENSG00000279548.1	AL022323.5	25022594	22
ENSG00000170458	ENSG00000170458.14	CD14	140631728	5
ENSG00000203280	ENSG00000203280.4	AL022323.1	25102433	22
ENSG00000278339	ENSG00000278339.1	KIR2DP1	54755024	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000152582	ENSG00000152582.14	SPEF2	35617844	5
ENSG00000271181	ENSG00000271181.1	Z99916.2	25179309	22
ENSG00000257265	ENSG00000257265.1	AC123905.1	71007773	12
ENSG00000188340	ENSG00000188340.2	OR6N2	158774222	1
ENSG00000225313	ENSG00000225313.5	AL513327.1	33307348	1
ENSG00000279006	ENSG00000279006.1	AL022323.2	25048967	22
ENSG00000279085	ENSG00000279085.1	AL022323.3	25009685	22
ENSG00000170161	ENSG00000170161.7	AL512625.1	62897368	9
ENSG00000257454	ENSG00000257454.1	AC025575.1	71034122	12
ENSG00000258053	ENSG00000258053.1	AC025575.2	71047402	12
ENSG00000285598	ENSG00000285598.1	AL023283.1	145296545	6
ENSG00000225768	ENSG00000225768.1	LINC02620	104474939	10
ENSG00000172728	ENSG00000172728.15	FUT10	33370824	8
ENSG00000281982	ENSG00000281982.1	AC003070.4	45396932	CHR_HSCHR17_2_CTG5
ENSG00000240518	ENSG00000240518.2	AC116353.1	140609085	5
ENSG00000237761	ENSG00000237761.3	AL161646.1	104566931	10
ENSG00000276907	ENSG00000276907.4	ARHGAP27	45393902	CHR_HSCHR17_2_CTG5
ENSG00000134900	ENSG00000134900.12	TPP2	102596986	13
ENSG00000113141	ENSG00000113141.18	IK	140647058	5
ENSG00000238245	ENSG00000238245.2	MYO5BP2	62857208	9
ENSG00000233246	ENSG00000233246.1	AL513327.2	33350352	1
ENSG00000227582	ENSG00000227582.2	ADGRF5P1	62860873	9
ENSG00000225182	ENSG00000225182.1	AC092601.1	166889502	2
ENSG00000180772	ENSG00000180772.7	AGTR2	116170744	X
ENSG00000219693	ENSG00000219693.3	FGF7P8	62888535	9
ENSG00000075886	ENSG00000075886.11	TUBA3D	131476119	2
ENSG00000249923	ENSG00000249923.1	AC007663.2	20198729	22
ENSG00000280946	ENSG00000280946.1	CR854858.2	13076471	CHR_HSCHR1_2_CTG3
ENSG00000156395	ENSG00000156395.13	SORCS3	104641290	10
ENSG00000258285	ENSG00000258285.1	TESC-AS1	117099481	12
ENSG00000272265	ENSG00000272265.1	AC034236.3	116078110	5
ENSG00000226097	ENSG00000226097.6	AC099342.1	20296637	7
ENSG00000226250	ENSG00000226250.2	LINC00408	18905419	13
ENSG00000147162	ENSG00000147162.14	OGT	71533104	X
ENSG00000223876	ENSG00000223876.1	RPS27P1	91544852	10
ENSG00000119938	ENSG00000119938.9	PPP1R3C	91628442	10
ENSG00000182134	ENSG00000182134.16	TDRKH	151770107	1
ENSG00000172156	ENSG00000172156.3	CCL11	34285668	17
ENSG00000213449	ENSG00000213449.2	GAPDHP28	91666780	10
ENSG00000232916	ENSG00000232916.1	HMGN2P27	116218026	5
ENSG00000231358	ENSG00000231358.4	AL355516.1	18921888	13
ENSG00000250015	ENSG00000250015.1	AC018752.1	116302354	5
ENSG00000228759	ENSG00000228759.1	FAF2P1	91765899	10
ENSG00000173272	ENSG00000173272.16	MZT2A	131464900	2
ENSG00000271918	ENSG00000271918.1	AC034236.2	116083807	5
ENSG00000228701	ENSG00000228701.2	TNKS2-AS1	91782835	10
ENSG00000236499	ENSG00000236499.2	LINC00896	20206397	22
ENSG00000149972	ENSG00000149972.11	CNTN5	99020949	11
ENSG00000277853	ENSG00000277853.2	PRAMEF18	13241912	CHR_HSCHR1_2_CTG3
ENSG00000145781	ENSG00000145781.9	COMMD10	116085016	5
ENSG00000273865	ENSG00000273865.2	HNRNPCL4	13185268	CHR_HSCHR1_2_CTG3
ENSG00000040608	ENSG00000040608.14	RTN4R	20241415	22
ENSG00000249510	ENSG00000249510.1	AP003478.1	94201913	8
ENSG00000276816	ENSG00000276816.2	PRAMEF22	13093633	CHR_HSCHR1_2_CTG3
ENSG00000166747	ENSG00000166747.12	AP1G1	71729000	16
ENSG00000186710	ENSG00000186710.11	CFAP73	113149858	12
ENSG00000281711	ENSG00000281711.1	CR854858.5	13149474	CHR_HSCHR1_2_CTG3
ENSG00000248514	ENSG00000248514.1	AC008443.4	181205361	5
ENSG00000281573	ENSG00000281573.1	PRAMEF9	13191011	CHR_HSCHR1_2_CTG3
ENSG00000286644	ENSG00000286644.1	AC008443.9	181207480	5
ENSG00000278079	ENSG00000278079.6	KIR3DL1	54816470	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000271133	ENSG00000271133.5	AC004130.1	20328299	7
ENSG00000231310	ENSG00000231310.3	TBL1XR1-AS1	177037405	3
ENSG00000162769	ENSG00000162769.13	FLVCR1	212858275	1
ENSG00000107854	ENSG00000107854.6	TNKS2	91798426	10
ENSG00000137504	ENSG00000137504.13	CREBZF	85659708	11
ENSG00000161132	ENSG00000161132.6	AC007663.1	20299760	22
ENSG00000226387	ENSG00000226387.2	SORCS3-AS1	104664608	10
ENSG00000105855	ENSG00000105855.10	ITGB8	20330702	7
ENSG00000105205	ENSG00000105205.7	CLC	39731255	19
ENSG00000253162	ENSG00000253162.1	AC026991.1	3373353	8
ENSG00000274107	ENSG00000274107.2	CR854858.1	13215394	CHR_HSCHR1_2_CTG3
ENSG00000285861	ENSG00000285861.1	AC026991.2	3409133	8
ENSG00000177565	ENSG00000177565.16	TBL1XR1	177019340	3
ENSG00000123064	ENSG00000123064.12	DDX54	113157174	12
ENSG00000276299	ENSG00000276299.5	PRAMEF25	13169610	CHR_HSCHR1_2_CTG3
ENSG00000117475	ENSG00000117475.14	BLZF1	169367970	1
ENSG00000166118	ENSG00000166118.8	SPATA19	133840631	11
ENSG00000279386	ENSG00000279386.1	AC021106.3	37866561	4
ENSG00000229375	ENSG00000229375.1	USP24P1	19015487	13
ENSG00000270127	ENSG00000270127.2	AC027020.2	100547765	15
ENSG00000259554	ENSG00000259554.1	AC084882.1	47274183	15
ENSG00000232685	ENSG00000232685.5	LINC00442	19008259	13
ENSG00000259360	ENSG00000259360.1	AC009558.1	47397501	15
ENSG00000281597	ENSG00000281597.1	CR854858.4	13115828	CHR_HSCHR1_2_CTG3
ENSG00000286770	ENSG00000286770.1	AC100825.1	68483202	15
ENSG00000249863	ENSG00000249863.2	AC021106.1	37868292	4
ENSG00000259730	ENSG00000259730.1	AC092078.1	47944044	15
ENSG00000281073	ENSG00000281073.1	AC244216.1	13264443	CHR_HSCHR1_2_CTG3
ENSG00000259740	ENSG00000259740.1	AC009558.2	47525169	15
ENSG00000274109	ENSG00000274109.2	HNRNPCL2	13136151	CHR_HSCHR1_2_CTG3
ENSG00000213862	ENSG00000213862.4	AC044787.1	47730144	15
ENSG00000226619	ENSG00000226619.1	AL137001.1	19027837	13
ENSG00000259754	ENSG00000259754.2	AC092078.2	47812729	15
ENSG00000116544	ENSG00000116544.12	DLGAP3	34865436	1
ENSG00000281229	ENSG00000281229.1	CR854858.3	13125206	CHR_HSCHR1_2_CTG3
ENSG00000226057	ENSG00000226057.7	PHF2P2	18946755	13
ENSG00000213153	ENSG00000213153.3	AP001979.1	133864877	11
ENSG00000106344	ENSG00000106344.8	RBM28	128297685	7
ENSG00000280237	ENSG00000280237.3	MIR4697HG	133896438	11
ENSG00000137872	ENSG00000137872.16	SEMA6D	47184101	15
ENSG00000126545	ENSG00000126545.14	CSN1S1	69931068	4
ENSG00000187091	ENSG00000187091.13	PLCD1	38007496	3
ENSG00000187721	ENSG00000187721.8	GTF2IP3	19026001	13
ENSG00000183475	ENSG00000183475.12	ASB7	100602534	15
ENSG00000103647	ENSG00000103647.12	CORO2B	68578969	15
ENSG00000278396	ENSG00000278396.1	AL122023.1	93334528	14
ENSG00000187581	ENSG00000187581.2	COX8C	93347191	14
ENSG00000215021	ENSG00000215021.8	PHB2	6965327	12
ENSG00000179965	ENSG00000179965.11	ZNF771	30407297	16
ENSG00000117477	ENSG00000117477.12	CCDC181	169394870	1
ENSG00000273343	ENSG00000273343.1	AC007663.4	20318119	22
ENSG00000180581	ENSG00000180581.7	SRP9P1	91807179	10
ENSG00000128185	ENSG00000128185.9	DGCR6L	20314276	22
ENSG00000235293	ENSG00000235293.1	AC114814.3	235177896	2
ENSG00000268104	ENSG00000268104.3	SLC6A14	116436606	X
ENSG00000139292	ENSG00000139292.13	LGR5	71439798	12
ENSG00000183813	ENSG00000183813.6	CCR4	32951574	3
ENSG00000258679	ENSG00000258679.1	AC121758.1	56822985	12
ENSG00000258816	ENSG00000258816.1	AC121758.2	56855694	12
ENSG00000179958	ENSG00000179958.8	DCTPP1	30423619	16
ENSG00000273536	ENSG00000273536.1	AC121758.3	56840973	12
ENSG00000279742	ENSG00000279742.1	AP000974.1	85852557	11
ENSG00000170426	ENSG00000170426.2	SDR9C7	56923133	12
ENSG00000273139	ENSG00000273139.1	AC007663.3	20320739	22
ENSG00000255966	ENSG00000255966.1	AC006064.3	6532290	12
ENSG00000236484	ENSG00000236484.2	RRM2P2	161378707	1
ENSG00000204019	ENSG00000204019.5	CT83	116461686	X
ENSG00000278400	ENSG00000278400.1	AC026120.2	56941174	12
ENSG00000139547	ENSG00000139547.7	RDH16	56951431	12
ENSG00000140471	ENSG00000140471.17	LINS1	100559369	15
ENSG00000161133	ENSG00000161133.16	USP41	20350578	22
ENSG00000277882	ENSG00000277882.1	AL592295.2	161411597	1
ENSG00000278399	ENSG00000278399.1	AC026120.1	56981211	12
ENSG00000271797	ENSG00000271797.1	AC008494.3	115262505	5
ENSG00000156959	ENSG00000156959.9	LHFPL4	9498361	3
ENSG00000283317	ENSG00000283317.1	AL831711.1	161433444	1
ENSG00000164219	ENSG00000164219.10	PGGT1B	115204012	5
ENSG00000215840	ENSG00000215840.3	AL592295.1	161406068	1
ENSG00000223405	ENSG00000223405.1	DDR1-DT	30856563	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000283360	ENSG00000283360.1	AL592295.3	161403409	1
ENSG00000283696	ENSG00000283696.1	AL592295.4	161399409	1
ENSG00000229105	ENSG00000229105.1	ASTN2-AS1	116504283	9
ENSG00000230659	ENSG00000230659.3	AL451074.4	165819353	1
ENSG00000288093	ENSG00000288093.1	AL592295.5	161399998	1
ENSG00000236364	ENSG00000236364.4	AL358115.1	165889725	1
ENSG00000287446	ENSG00000287446.1	AC007731.5	20348758	22
ENSG00000143153	ENSG00000143153.12	ATP1B1	169105697	1
ENSG00000235338	ENSG00000235338.1	DUSP5P2	9600748	3
ENSG00000230807	ENSG00000230807.1	AC099535.1	27486247	3
ENSG00000139405	ENSG00000139405.16	RITA1	113185526	12
ENSG00000230734	ENSG00000230734.1	RPL10P3	117180628	9
ENSG00000136244	ENSG00000136244.12	IL6	22725884	7
ENSG00000235578	ENSG00000235578.1	AC007731.2	20343203	22
ENSG00000224358	ENSG00000224358.1	TMCO1-AS1	165768929	1
ENSG00000242261	ENSG00000242261.1	AC018635.1	128306649	7
ENSG00000232167	ENSG00000232167.1	AC137675.1	27525353	3
ENSG00000119401	ENSG00000119401.10	TRIM32	116687302	9
ENSG00000188280	ENSG00000188280.11	FAM230G	20338805	22
ENSG00000258225	ENSG00000258225.1	AC073571.1	78052181	12
ENSG00000223968	ENSG00000223968.1	AC098614.1	27624202	3
ENSG00000143183	ENSG00000143183.16	TMCO1	165724293	1
ENSG00000271943	ENSG00000271943.2	AC098614.3	27632976	3
ENSG00000233339	ENSG00000233339.1	AC018878.1	106179542	2
ENSG00000232766	ENSG00000232766.1	AC098614.2	27703129	3
ENSG00000272282	ENSG00000272282.1	LINC02084	27712910	3
ENSG00000115652	ENSG00000115652.14	UXS1	106093303	2
ENSG00000205143	ENSG00000205143.2	ARID3C	34621379	9
ENSG00000197251	ENSG00000197251.3	LINC00336	33586106	6
ENSG00000236052	ENSG00000236052.2	LINC01643	34017422	22
ENSG00000148219	ENSG00000148219.16	ASTN2	116425225	9
ENSG00000106648	ENSG00000106648.14	GALNTL5	151956379	7
ENSG00000204188	ENSG00000204188.7	GGNBP1	33540046	6
ENSG00000273526	ENSG00000273526.1	KIR2DS4	54832771	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000206384	ENSG00000206384.10	COL6A6	130560334	3
ENSG00000234770	ENSG00000234770.1	GULOP	27560274	8
ENSG00000181097	ENSG00000181097.5	AC105219.1	143696154	8
ENSG00000235575	ENSG00000235575.1	Z99758.1	169310665	1
ENSG00000276779	ENSG00000276779.1	KIR2DL4	54803599	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000150676	ENSG00000150676.12	CCDC83	85855101	11
ENSG00000257286	ENSG00000257286.1	AC089999.1	113185624	12
ENSG00000143156	ENSG00000143156.14	NME7	169132531	1
ENSG00000255181	ENSG00000255181.3	CCDC166	143706694	8
ENSG00000108700	ENSG00000108700.5	CCL8	34319435	17
ENSG00000254574	ENSG00000254574.1	AC105219.3	143709007	8
ENSG00000248969	ENSG00000248969.1	AC137810.1	35678484	5
ENSG00000030110	ENSG00000030110.13	BAK1	33572547	6
ENSG00000236077	ENSG00000236077.2	BX119904.3	116669810	X
ENSG00000181135	ENSG00000181135.16	ZNF707	143684452	8
ENSG00000233476	ENSG00000233476.3	EEF1A1P6	22510616	7
ENSG00000255547	ENSG00000255547.1	RPA2P3	100336856	11
ENSG00000265614	ENSG00000265614.1	AC011193.2	34331862	17
ENSG00000227180	ENSG00000227180.1	AC013467.1	174299324	2
ENSG00000237860	ENSG00000237860.1	BX119904.4	116688870	X
ENSG00000281617	ENSG00000281617.2	AC073135.6	198053522	CHR_HSCHR3_9_CTG3
ENSG00000237804	ENSG00000237804.1	HNRNPA1P39	174310015	2
ENSG00000105889	ENSG00000105889.15	STEAP1B	22419444	7
ENSG00000230159	ENSG00000230159.1	BX119904.2	116692910	X
ENSG00000231453	ENSG00000231453.1	LINC01305	174326027	2
ENSG00000224217	ENSG00000224217.1	BX119904.1	116748530	X
ENSG00000131495	ENSG00000131495.8	NDUFA2	140638740	5
ENSG00000280414	ENSG00000280414.1	AC018470.1	174334438	2
ENSG00000217236	ENSG00000217236.2	SP9	174334954	2
ENSG00000181374	ENSG00000181374.8	CCL13	34356480	17
ENSG00000259381	ENSG00000259381.2	AC090695.1	100645434	15
ENSG00000259540	ENSG00000259540.1	AC027020.1	100558677	15
ENSG00000259205	ENSG00000259205.2	PRKXP1	100553529	15
ENSG00000100053	ENSG00000100053.10	CRYBB3	25199858	22
ENSG00000224404	ENSG00000224404.2	Z68323.1	34191194	22
ENSG00000137261	ENSG00000137261.14	KIAA0319	24544104	6
ENSG00000255005	ENSG00000255005.1	AP003128.1	85916502	11
ENSG00000067955	ENSG00000067955.15	CBFB	67028984	16
ENSG00000213526	ENSG00000213526.3	SETP8	116963049	X
ENSG00000287861	ENSG00000287861.1	AL137001.2	19074038	13
ENSG00000228222	ENSG00000228222.1	AC073050.1	167293171	2
ENSG00000167080	ENSG00000167080.8	B4GALNT2	49132460	17
ENSG00000232759	ENSG00000232759.1	AC002480.1	22563337	7
ENSG00000273510	ENSG00000273510.1	KIR2DL1	54769838	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000224778	ENSG00000224778.1	CENPIP1	19126399	13
ENSG00000259229	ENSG00000259229.2	AC026826.2	79758549	15
ENSG00000138722	ENSG00000138722.10	MMRN1	89879532	4
ENSG00000259548	ENSG00000259548.1	AC021483.1	79832466	15
ENSG00000214211	ENSG00000214211.2	CTAGE14P	167713663	2
ENSG00000279022	ENSG00000279022.1	AL359715.4	80440730	6
ENSG00000179428	ENSG00000179428.2	AC073072.1	22725395	7
ENSG00000124164	ENSG00000124164.15	VAPB	58389122	20
